Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/80/Freeflow;0%;74.3812866210938;2.88130974769592;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/80/St+Go;0%;15.4780807495117;4.54453802108765;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/90/Freeflow;0%;86.3270111083984;3.01641893386841;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/90/St+Go;0%;15.4743194580078;4.54392433166504;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;Urban;URB/Local/30/Freeflow;0%;30.1593742370605;2.60510396957397;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;Urban;URB/Local/30/St+Go;0%;9.62191581726074;4.82771301269531;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;Urban;URB/Local/40/Freeflow;0%;38.1118545532227;2.58907461166382;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;Urban;URB/Local/40/St+Go;0%;11.8271398544312;4.35985660552979;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;MW;URB/MW-Nat./120/Freeflow;0%;115.933570861816;343.495208740234;ØGermany;63.296272277832;343.495208740234
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;MW;URB/MW-Nat./120/St+Go;0%;17.9234027862549;352.526947021484;ØGermany;64.3550109863281;352.526947021484
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;MW;URB/MW-Nat./130/Freeflow;0%;125.998153686523;388.704071044922;ØGermany;71.676383972168;388.704071044922
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;MW;URB/MW-Nat./130/St+Go;0%;17.9180278778076;352.609649658203;ØGermany;64.3701705932617;352.609649658203
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;URB/MW-City/100/Freeflow;0%;96.9333648681641;270.292907714844;ØGermany;49.7389793395996;270.292907714844
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;URB/MW-City/100/St+Go;0%;17.9299468994141;352.463287353516;ØGermany;64.3433456420898;352.463287353516
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/50/Freeflow;0%;49.3581237792969;230.090667724609;ØGermany;41.9782257080078;230.090667724609
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/50/St+Go;0%;12.4883232116699;378.961090087891;ØGermany;69.2053756713867;378.961090087891
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/60/Freeflow;0%;57.1676788330078;237.698669433594;ØGermany;43.4068756103516;237.698669433594
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/60/St+Go;0%;12.4883794784546;378.946868896484;ØGermany;69.202766418457;378.946868896484
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/70/Freeflow;0%;65.8186798095703;235.496231079102;ØGermany;43.0133934020996;235.496231079102
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/70/St+Go;0%;14.3968229293823;394.488067626953;ØGermany;72.0547485351563;394.488067626953
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/80/Freeflow;0%;74.3812866210938;242.373962402344;ØGermany;44.2979888916016;242.373962402344
